Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Auditor3\Auditor3.csproj,File,Auditor3\Auditor3.csproj,,,Newtonsoft.Json 6.0.4,,,,,"Newtonsoft.Json, 6.0.4  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,Auditor3\Auditor3.csproj,File,Auditor3\Auditor3.csproj,,,Newtonsoft.Json 6.0.4,,,,,"Newtonsoft.Json, 6.0.4  Recommendation:  Newtonsoft.Json, 13.0.4"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,Auditor3\Auditor3.csproj,File,Auditor3\Auditor3.csproj,,,SSH.NET 2016.1.0,,,,,"SSH.NET, 2016.1.0  Recommendation:  SSH.NET, 2025.1.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\Auditor3.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\Auditor3.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net9.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Auditor3\Auditor3.csproj,File,Auditor3\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Auditor3\Auditor3.csproj,File,Auditor3\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,33,8,T:System.Windows.RoutedEventArgs,,,,,"private void Click_Cancel(object sender, RoutedEventArgs args)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,35,12,M:System.Windows.Window.Close,,,,,Close();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,23,8,T:System.Windows.RoutedEventArgs,,,,,"private void Click_OK(object sender, RoutedEventArgs args)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,29,12,M:System.Windows.Window.Close,,,,,Close();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,28,12,T:System.Windows.Controls.TextBox,,,,,File = Filename.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,28,12,P:System.Windows.Controls.TextBox.Text,,,,,File = Filename.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,25,16,T:System.Windows.MessageBox,,,,,"MessageBox.Show(""You have not provided a file"", ""Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,25,16,T:System.Windows.MessageBoxResult,,,,,"MessageBox.Show(""You have not provided a file"", ""Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,25,16,"M:System.Windows.MessageBox.Show(System.String,System.String)",,,,,"MessageBox.Show(""You have not provided a file"", ""Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,24,12,T:System.Windows.Controls.TextBox,,,,,"if (string.IsNullOrEmpty(Filename.Text)) {                  MessageBox.Show(""You have not provided a file"", ""Error"");                  return;              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,24,12,P:System.Windows.Controls.TextBox.Text,,,,,"if (string.IsNullOrEmpty(Filename.Text)) {                  MessageBox.Show(""You have not provided a file"", ""Error"");                  return;              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,18,8,M:System.Windows.Window.#ctor,,,,,public CollectToolsAFileWindow() {              InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,93,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,93,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,93,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,85,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_OK);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,85,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_OK);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,85,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_OK);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,80,12,T:System.Windows.Controls.TextBox,,,,,this.Filename = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,64,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,64,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,44,49,T:System.Windows.Controls.TextBox,,,,,Filename
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\WPF\CollectToolsAFileWindow.xaml.cs,18,8,M:System.Windows.Window.#ctor,,,,,public CollectToolsAFileWindow() {              InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,39,96,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\CollectToolsAFileWindow.g.i.cs,39,66,T:System.Windows.Window,,,,,Window
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\LabStagerWindow.g.i.cs,239,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\LabStagerWindow.g.i.cs,239,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\LabStagerWindow.g.i.cs,239,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\LabStagerWindow.g.i.cs,231,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Stage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\LabStagerWindow.g.i.cs,231,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Stage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\LabStagerWindow.g.i.cs,231,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Click_Stage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\LabStagerWindow.g.i.cs,223,12,T:System.Windows.Controls.Button,,,,,this.Browse.Click += new System.Windows.RoutedEventHandler(this.Click_Browse);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Auditor3\Auditor3.csproj,File,Auditor3\obj\Debug\WPF\LabStagerWindow.g.i.cs,223,12,T:System.Windows.RoutedEventHandler,,,,,this.Browse.Click += new System.Windows.RoutedEventHandler(this.Click_Browse);
